ATP Auckland	13/01/2015	2e tour	Diego Schwartzman	88	Donald Young	48	6	4	1	x	x	x	2	6	6	x	x	x
ATP Auckland	14/01/2015	2e tour	Jirí Veselý	41	Ernests Gulbis	81	6	3	6	x	x	x	2	6	1	x	x	x
ATP Auckland	14/01/2015	Quart de finale	Lucas Pouille	78	Albert Ramos	54	6	6	x	x	x	x	3	2	x	x	x	x
ATP Auckland	14/01/2015	Quart de finale	Adrian Mannarino	47	Alejandro Falla	122	6	6	x	x	x	x	3	1	x	x	x	x
ATP Auckland	15/01/2015	Quart de finale	Steve Johnson	32	Kevin Anderson	12	4	6	x	x	x	x	6	7	x	x	x	x
ATP Auckland	14/01/2015	Quart de finale	Donald Young	48	Jirí Veselý	41	2	3	x	x	x	x	6	6	x	x	x	x
ATP Auckland	16/01/2015	Demi-finale	Lucas Pouille	78	Adrian Mannarino	47	4	6	5	x	x	x	6	3	7	x	x	x
ATP Auckland	16/01/2015	Demi-finale	Kevin Anderson	12	Jirí Veselý	41	4	6	x	x	x	x	6	7	x	x	x	x
ATP Auckland	17/01/2015	Finale	Adrian Mannarino	47	Jirí Veselý	41	3	2	x	x	x	x	6	6	x	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Novak Djokovic	1	Aljaž Bedene	45	6	6	6	x	x	x	3	2	4	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Andrey Kuznetsov	79	Albert Ramos	54	6	3	6	7	x	x	1	6	3	6	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Go Soeda	132	Elias Ymer	136	1	6	4	6	6	x	6	4	6	3	3	x
Open d’Australie messieurs	20/01/2015	1er tour	James Ward	156	Fernando Verdasco	49	6	0	6	3	x	x	2	6	7	6	x	x
Open d’Australie messieurs	20/01/2015	1er tour	John Isner	11	Jimmy Wang	10000	7	6	6	x	x	x	6	4	4	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Laurent Lokoli	10000	Andreas Haider-Maurer	63	4	5	6	3	x	x	6	7	4	6	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Pablo Carreño	67	Gilles Muller	38	4	6	6	x	x	x	6	7	7	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Dominic Thiem	20	Roberto Bautista	25	6	2	3	6	x	x	4	6	6	7	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Feliciano López	17	Denis Kudla	69	3	6	4	6	10	x	6	2	6	2	8	x
Open d’Australie messieurs	20/01/2015	1er tour	Blaž Rola	144	Adrian Mannarino	47	6	3	2	x	x	x	7	6	6	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Hiroki Moriya	199	Jerzy Janowicz	57	6	6	3	5	x	x	7	2	6	7	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Lucas Pouille	78	Gaël Monfils	24	7	6	4	1	4	x	6	3	6	6	6	x
Open d’Australie messieurs	20/01/2015	1er tour	Julien Benneteau	10000	Benjamin Becker	97	5	7	2	4	x	x	7	5	6	6	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Lleyton Hewitt	10000	Ze Zhang	189	6	1	6	6	x	x	3	6	0	4	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Donald Young	48	Tim Pütz	10000	6	4	6	6	x	x	4	6	3	2	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Illya Marchenko	94	Milos Raonic	14	6	6	3	x	x	x	7	7	6	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Stan Wawrinka	4	Marsel Ilhan	114	6	6	6	x	x	x	1	4	2	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Marius Copil	165	Pablo Andújar	64	6	6	7	x	x	x	2	2	5	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Jarkko Nieminen	153	Andrey Golubev	206	6	6	7	x	x	x	1	2	6	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Matthias Bachinger	222	Pablo Cuevas	40	7	6	6	x	x	x	6	3	1	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Alexandr Dolgopolov	36	Paolo Lorenzi	68	4	3	2	x	x	x	6	6	6	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Sam Querrey	59	Vasek Pospisil	39	3	7	6	4	4	x	6	6	2	6	6	x
Open d’Australie messieurs	20/01/2015	1er tour	Guillermo García-López	27	Peter Gojowczyk	194	6	7	6	1	x	x	7	5	4	0	x	A
Open d’Australie messieurs	20/01/2015	1er tour	Alejandro González	141	Fabio Fognini	21	4	6	6	6	x	x	6	2	3	4	x	x
Open d’Australie messieurs	20/01/2015	1er tour	David Ferrer	7	Thomaz Bellucci	37	6	6	6	6	x	x	7	2	0	3	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Sergiy Stakhovsky	62	Dušan Lajovic	76	6	4	6	6	6	x	3	6	4	7	4	x
Open d’Australie messieurs	20/01/2015	1er tour	Marcel Granollers	84	Stéphane Robert	208	6	6	6	x	x	x	3	4	4	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Robin Haase	66	Gilles Simon	15	1	3	4	x	x	x	6	6	6	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Santiago Giraldo	70	Jan Hernych	286	6	6	6	x	x	x	3	2	2	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Kyle Edmund	102	Steve Johnson	32	4	4	3	x	x	x	6	6	6	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Ivan Dodig	87	João Souza	142	6	7	6	x	x	x	4	5	4	x	x	x
Open d’Australie messieurs	20/01/2015	1er tour	Nicolás Almagro	73	Kei Nishikori	8	4	6	2	x	x	x	6	7	6	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Tomáš Berdych	6	Alejandro Falla	122	6	7	6	x	x	x	3	6	3	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Jürgen Melzer	155	Víctor Estrella	56	6	6	6	x	x	x	1	4	2	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Jirí Veselý	41	Viktor Troicki	22	3	6	2	3	x	x	6	3	6	6	x	x
Open d’Australie messieurs	19/01/2015	1er tour	John Millman	92	Leonardo Mayer	35	3	3	2	x	x	x	6	6	6	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Philipp Kohlschreiber	34	Paul-Henri Mathieu	95	6	6	6	x	x	x	2	2	1	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Tobias Kamke	277	Bernard Tomic	18	5	7	3	2	x	x	7	6	6	6	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Sam Groth	60	Filip Krajinovic	101	6	7	6	x	x	x	3	6	4	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Thanasi Kokkinakis	80	Ernests Gulbis	81	5	6	1	7	8	x	7	0	6	6	6	x
Open d’Australie messieurs	19/01/2015	1er tour	Kevin Anderson	12	Diego Schwartzman	88	7	7	5	6	x	x	6	5	7	4	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Ricardas Berankis	85	Igor Sijsling	145	2	6	7	6	6	x	6	4	6	7	4	x
Open d’Australie messieurs	19/01/2015	1er tour	Blaž Kavcic	151	James Duckworth	120	2	7	6	6	2	x	6	5	7	3	6	x
Open d’Australie messieurs	19/01/2015	1er tour	Carlos Berlocq	111	Richard Gasquet	9	1	3	1	x	x	x	6	6	6	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Lukáš Rosol	55	Kenny De Schepper	148	4	6	6	6	6	x	6	2	7	3	4	x
Open d’Australie messieurs	19/01/2015	1er tour	Jan-Lennard Struff	107	Dudi Sela	100	4	6	6	3	5	x	6	4	3	6	7	x
Open d’Australie messieurs	19/01/2015	1er tour	Luke Saville	187	Tim Smyczek	109	6	5	4	x	x	x	7	7	6	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Mikhail Youzhny	127	Rafael Nadal	5	3	2	2	x	x	x	6	6	6	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Andy Murray	2	Yuki Bhambri	93	6	6	7	x	x	x	3	4	6	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Alexander Kudryavtsev	164	Marinko Matosevic	296	4	7	6	5	3	x	6	6	4	7	6	x
Open d’Australie messieurs	19/01/2015	1er tour	Jordan Thompson	154	João Sousa	33	4	6	4	x	x	x	6	7	6	x	x	x
Open d’Australie messieurs	19/01/2015	1er tour	Tatsuma Ito	119	Martin Kližan	43	6	2	4	x	x	x	7	6	6	x	x	x
